Pemain;Klub;Posisi
Ahmad Jufrianto;Sriwijaya FC;Defender
Ahmad Jufrianto;Pelita Jaya;Defender
Ahmad Jufrianto;Arema Malang;Defender
Ahmad Jufrianto;Persita;Defender
Agung Setyabudi;Persebaya Surabaya;Pemain bertahan
Agung Setyabudi;Persis Solo;Pemain bertahan
Agung Setyabudi;PSIS Semarang;Pemain bertahan
Agung Setyabudi;Arseto Solo;Pemain bertahan
Agustiar Batubara;Persebaya Surabaya;Bek
Agustiar Batubara;Persela Lamongan;Bek
Agustiar Batubara;Deltras Sidoarjo;Bek
Agustiar Batubara;Pelita Jaya Purwakarta;Bek
Ahmad Bustomi;Persema Malang;Midfielder
Ahmad Bustomi;Arema FC;Midfielder
Ahmad Bustomi;Mitra Kukar;Midfielder
Aji Santoso;Persebaya Surabaya;Pelatih
Aji Santoso;Persema Malang;Pelatih
Aji Santoso;PSM Makassar;Pelatih
Aji Santoso;Arema Malang;Pelatih
Aliyudin;Persib Bandung;Forward
Aliyudin;Persija Jakarta;Forward
Aliyudin;Persikabo Bogor;Forward
Aliyudin;Persikota Tangerang;Forward
Aliyudin;Sriwijaya F.C.;Forward
Aliyudin;Pelita Jaya FC;Forward
Ambrizal;Sriwijaya FC;Pemain bertahan
Anang Ma'ruf;Persebaya Surabaya;Pemain bertahan
Anang Ma'ruf;Persija Jakarta;Pemain bertahan
Anang Ma'ruf;Gresik United;Pemain bertahan
Anang Ma'ruf;Deltras Sidoarjo;Pemain bertahan
Andritany Ardhiyasa;Persija Jakarta;Kiper
Andritany Ardhiyasa;Sriwijaya FC;Kiper
Arif Suyono;Persema Malang;Gelandang
Arif Suyono;Sriwijaya FC;Gelandang
Arif Suyono;Arema Malang;Gelandang
Arif Suyono;Mitra Kukar;Gelandang
Atep;Persiba Bantul;Gelandang
Atep;Persib Bandung;Gelandang
Atep;Persija;Gelandang
Bambang Pamungkas;Persija Jakarta;Penyerang
Bambang Pamungkas;Selangor FA;Penyerang
Bambang Pamungkas;EHC Hoensbroek;Penyerang
Benny Wahyudi;Persekabpas Pasuruan;Bek
Benny Wahyudi;Persekam Metro FC;Bek
Benny Wahyudi;Persewangi Banyuwangi;Bek
Benny Wahyudi;Arema Indonesia;Bek
Benny Wahyudi;Deltras Sidoarjo;Bek
Bima Sakti Tukiman;Persema Malang;Gelandang
Bima Sakti Tukiman;Persiba Balikpapan;Gelandang
Bima Sakti Tukiman;PSM Makassar;Gelandang
Bima Sakti Tukiman;PSPS Pekanbaru;Gelandang
Bima Sakti Tukiman;Bontang FC;Gelandang
Bima Sakti Tukiman;Pelita Jaya;Gelandang
Cristian Gonzáles;Persib Bandung;Striker
Cristian Gonzáles;Persik Kediri;Striker
Cristian Gonzáles;Persisam Putra Samarinda;Striker
Cristian Gonzáles;PSM Makassar;Striker
Cristian Gonzáles;Arema FC;Striker
Cucu Hidayat;Persib Bandung;Gelandang
Cucu Hidayat;Persita Tangerang;Gelandang
Cucu Hidayat;Persikad;Gelandang
Cucu Hidayat;Persikabo;Gelandang
David Christian Uron;Persipura Jayapura;Gelandang
David Christian Uron;Persiram Raja Ampat;Gelandang
David Christian Uron;Persiwa Wamena;Gelandang
David Laly;Persipura Jayapura;Bek
Edi Hafid Murtadho;Persib Bandung;Bek
Edi Hafid Murtadho;Persitara Jakarta Utara;Bek
